1440,1360,1444,1480,1476,1360,1504,1544,1424,1288,1236,1408,1372,1364,1452,1372,1408,1452,1420,1412
168,-36,20,96,136,0,28,-80,36,20,168,-228,60,56,172,180,128,148,92,116
17512,17432,17476,17644,17560,17492,17364,17444,17532,17568,17784,17492,17508,17572,17656,17384,17508,17604,17488,17464
-298,-56,15,54,77,82,88,66,8,39,21,486,-8,48,38,31,57,54,45,71
-459,-65,-15,-12,12,-19,13,49,0,-32,-66,20,4,-15,-2,-25,-28,-11,18,-16
136,-9,39,-24,6,-28,46,42,-2,25,7,107,-15,18,-10,-32,36,-8,-17,16
2,104,206,307,409,511,613,715,816,919,1020,1123,1224,1325,1428,1529,1632,1733,1835,1937
-2924,-1892,-1080,1620,-648,5120,-1136,-1036,-2140,560,-644,2008,588,-8692,496,-2452,1384,2264,400,700
516,936,4124,128,840,5704,-40,3656,3120,2768,2608,1856,2752,4260,5228,980,-3104,-3168,-2200,-3576
14580,15044,18432,14692,13204,17496,16564,17136,16524,16636,16852,16976,17804,13712,16628,15072,15676,17160,15980,18236
-326,1207,5937,-9620,-929,3640,9171,645,-53,-540,180,70,1062,-2220,-1337,-5957,-6783,-1051,1277,2242
-1562,1736,-5905,-14261,-2681,5459,-14515,-1502,1179,3665,100,-480,4189,-5805,874,1633,-2886,-2643,871,1599
-321,681,1220,-6080,-703,3689,2762,340,247,21,314,337,-1413,7211,-1924,-5534,-5410,-2408,450,3332
2,103,206,307,408,511,612,715,816,918,1020,1122,1223,1325,1427,1529,1631,1732,1835,1936
-7828,-8564,-8984,-6748,-6356,-6596,-1888,-3976,-3344,-5068,-4708,-5504,-5608,-7492,-4188,-420,852,-2704,-1736,-2316
5756,7376,8148,9304,5404,15296,9624,12604,11204,13948,11872,12852,10376,6712,7052,9028,9832,11400,11612,13208
4072,6028,7116,9756,7080,4424,2596,-432,-4004,-5048,-3892,-1920,1824,1124,4284,7676,9676,9296,8256,5612
-25965,-11901,-10977,-17469,4963,-5567,9023,12729,19715,23516,23419,22481,18473,14868,11775,5955,-1803,-9590,-14568,-16583
6880,1370,14100,2259,9976,670,1738,-1357,-362,-9880,-16505,-21391,-21070,-10887,-8012,-6564,7370,2268,5557,8644
7204,16793,16784,12681,4148,-5176,-2194,-4527,-4198,-3603,1494,-2129,-5780,-6686,-3169,5429,6735,8512,9219,11660
2,104,206,307,410,511,613,715,816,919,1020,1123,1224,1325,1428,1529,1631,1733,1835,1937
-3504,-1048,956,-1032,-6712,-10972,-12072,-8536,-8004,-3980,-4048,-5644,-7152,-12776,-9312,-10112,-9020,-5596,-3124,-96
2220,144,124,3128,6632,10372,13288,9124,9644,6676,4888,7388,9120,8944,9884,10564,7996,5520,3436,2372
48,1856,84,-1816,-5164,-5080,-6276,-4844,-3048,-44,-1348,-1380,-1992,-5844,-2724,-936,-772,936,2472,1328
7057,787,-2276,-6317,-9895,-11498,-20138,-8159,-20625,-6985,-7291,8858,12618,13020,12726,10319,6341,6838,1760,264
-3872,-2883,3750,6041,3498,1115,6357,3274,-4144,2927,35,-378,-1829,-6045,-3903,-3321,-5119,-7497,-5395,-2051
-12477,-3382,5767,15666,18584,16345,9878,8944,1412,9,-1179,-680,-2882,-2772,-12283,-12388,-14282,-11578,-6014,2028
2,103,206,307,409,511,612,714,816,918,1020,1122,1223,1325,1427,1529,1631,1732,1835,1936
584,724,2012,-3472,-5644,-12844,-13468,-1596,3172,3156,-1872,-7952,-8044,-8324,-6712,-1344,-3392,-2124,-4820,-6252
14604,16064,15212,16028,3404,4440,4136,3680,1644,1284,3052,6168,11296,10792,10060,14792,9044,8500,9672,14132
-3848,-4712,-5848,-7904,-7928,-12608,-14492,-3340,-40,1180,-4220,-10908,-9380,-11264,-8308,-3664,-6576,-6708,-6912,-7720
4261,12279,13902,15021,14563,16377,18723,15133,4852,-4182,-13973,-17162,-16310,-12826,-25604,-273,-13827,6942,9684,13699
-2944,-7276,-7723,-12199,-3086,-3868,-1020,-4891,-4051,-1957,12997,10669,5850,1979,6825,-2644,-1749,-557,-1165,-8709
-2765,-10355,-14828,-14704,-22208,-17460,-20057,-9267,506,9996,15975,16023,20543,15890,4954,11047,2895,98,-11690,-12830
2,104,206,307,410,511,613,715,816,919,1020,1122,1224,1325,1428,1529,1631,1733,1835,1937
3428,-1248,-4872,-6500,-6172,-3764,-1372,116,-3696,-5748,-7144,-4708,-5420,-928,72,-824,-1012,-812,132,-800
16240,11376,12276,9032,8588,5084,2300,3576,7468,10156,11980,10172,8164,11008,12268,12580,12536,11724,12852,14052
-5544,-6996,-6020,-6344,-4908,-2460,-1460,-1476,-3796,-5740,-8124,-9304,-7076,-5568,-3336,-3484,-3696,-5204,-5772,-7284
17756,10647,9559,7742,7094,5481,-1555,-1451,-5957,-8908,-12416,-15532,-11755,-11272,-10211,-1464,-3747,5427,9698,11515
-5545,-16892,-8345,-6294,-5263,-1770,1594,1123,3627,7656,10391,11635,3339,5254,5697,3428,660,-1726,-4978,-5265
-13450,-7789,-12479,-13880,-14513,-10211,-5398,6325,11520,11964,8772,5318,4292,3867,2639,4616,-379,-2604,-2110,-4420
2,103,205,307,409,511,612,714,816,918,1020,1122,1223,1325,1427,1528,1631,1732,1835,1936
-5324,-6200,-5720,-3720,-5036,-5072,-1356,-1784,908,-80,124,4896,2624,4492,5240,6520,5928,6240,6348,4212
8336,8332,8332,7396,8268,8904,9492,10956,11780,12640,16184,14160,16904,18512,16504,15396,15216,13312,12548,12160
10204,8036,8180,7832,8476,8012,6024,4356,3008,-1844,-1468,844,-4044,-9700,-4496,-2368,-3596,-3644,-4452,-6168
-9832,-7603,-5040,-1816,-536,-479,-1280,2073,1901,11198,5760,4214,-4722,16248,-5386,-3946,-3394,-2124,-7,8599
7551,5805,3651,5130,3189,4351,7174,7165,10980,15019,4468,5391,12722,9645,4487,6746,7817,1677,-1561,-1672
10337,7240,5478,4688,5100,5247,2819,4295,6613,7988,6401,3269,6972,19620,322,-1632,-2717,-2718,-3245,-4240
2,104,206,307,410,511,612,715,816,919,1020,1122,1224,1325,1428,1529,1631,1733,1835,1937
-1448,-1084,-416,2720,1408,-1316,-4732,-5820,-3028,-2356,-1036,-2604,-2508,-2248,-3904,-5128,-4384,-1368,-2628,-2744
10336,12240,13044,12148,11872,11248,10940,12324,9808,11012,12828,14536,13456,11772,13048,10840,5100,7904,7020,7820
-6504,-5848,-3944,-2528,-1260,-544,-616,-1932,-2896,-1824,-1088,-1004,-1672,-184,3356,6040,10368,9884,10180,12188
12121,11078,11010,5467,-1248,4509,1188,-1827,-3398,-7298,-12660,-20420,-19037,-17454,-16156,-15641,-13189,-5912,-5689,-5299
-11784,-19360,-15823,-8994,-3892,7722,4249,4502,4899,2601,2191,5607,6634,2286,-1692,-346,-90,4893,1973,2228
-2687,-124,-1102,-3183,-3795,-1539,-989,-1225,-2565,-2003,-2334,-1617,1410,4443,2107,-817,-2170,2744,1457,1019
2,103,205,307,409,511,612,714,816,918,1019,1122,1223,1325,1427,1528,1631,1732,1835,1936
6056,6296,6968,8636,8660,8616,5980,9596,8592,8148,5264,1200,2608,2256,7092,10800,16896,23404,25484,25196
18016,20712,21624,16912,17120,19752,23956,22472,23304,23480,23436,11556,2948,-3868,-8796,-10460,-13908,-11872,-12496,-11328
4124,4092,3784,796,824,2532,3120,552,640,1808,7380,7560,9508,7576,4696,4224,-1192,-4580,-7524,-6740
18534,13021,17523,2298,5301,1303,-7996,-14179,-9486,-18545,-32768,-31210,-22608,-20599,-20046,-20938,-16349,-13450,-4517,2098
-6776,-4925,-4936,-3124,1661,6047,5105,-2043,-1416,-355,4607,1142,3744,4034,2031,-3464,11234,2474,564,-5927
14234,8325,5640,55,1246,383,-3671,-4897,-4437,-15850,-29205,-27551,-23859,-26175,-27075,-23608,-13237,-11169,-872,9220
2,103,206,307,410,511,612,715,816,919,1020,1122,1224,1325,1428,1529,1631,1733,1835,1936
4476,8856,-17080,-4576,-3196,-6640,-2628,3076,1952,6628,8204,4088,9516,9968,7364,6816,6396,2384,2024,3840
-8148,-5464,7836,5668,8820,14532,18720,18148,16180,19020,18080,17752,17012,18192,18824,22020,19800,19504,21316,15508
5584,10956,15384,9560,9688,10700,9016,9680,7024,3232,3292,1568,4284,3192,3592,4512,2400,3476,8180,9544
