6,3,2,2,0,-1,0,-69,-34,127,127,74,111,127,79,-63,-69,-22,-1,-4
20,18,14,15,17,15,7,16,127,127,115,13,17,70,74,52,54,38,12,18
-49,-59,-67,-69,-67,-65,-61,-127,-127,-127,49,72,104,2,-127,-127,-125,-60,-55,-55
17,-3,-2,0,0,3,9,45,127,127,112,66,-36,-87,-127,-56,-47,-12,-17,9
10,10,13,3,2,3,-11,22,-127,-127,-127,0,11,127,127,127,16,36,1,0
-4,-9,-9,10,11,15,55,-18,-127,-127,34,43,4,124,127,127,56,-44,-22,6
2,103,205,307,409,511,613,714,817,918,1021,1122,1224,1326,1428,1529,1632,1733,1836,1938
6,6,6,7,6,8,7,11,-5,-127,73,127,127,92,109,114,127,18,-84,-24
21,22,22,21,21,21,21,16,13,49,127,82,53,-23,-3,8,57,66,47,43
-53,-53,-53,-53,-52,-52,-51,-49,-64,-127,-127,-127,34,81,83,15,-108,-127,-127,-92
-1,0,0,0,0,0,1,2,13,124,127,127,-59,4,-25,-44,-87,-79,-79,-15
0,0,0,0,0,0,1,8,38,-121,-127,-127,-127,11,37,127,127,127,101,38
0,0,0,0,-1,0,7,10,50,-114,-111,-55,41,3,-1,63,126,127,99,-13
2,104,206,307,410,511,614,715,817,919,1021,1122,1225,1326,1429,1530,1632,1734,1836,1938
