min ax,max ax,mean ax,median ax,mad ax,sd ax,tdiff ax,iqr ax,entropy ax,skew ax,kurt ax,rms ax,pos jumps ax,neg jumps ax,min ay,max ay,mean ay,median ay,mad ay,sd ay,tdiff ay,iqr ay,entropy ay,skew ay,kurt ay,rms ay,pos jumps ay,neg jumps ay,min az,max az,mean az,median az,mad az,sd az,tdiff az,iqr az,entropy az,skew az,kurt az,rms az,pos jumps az,neg jumps az,min gx,max gx,mean gx,median gx,mad gx,sd gx,tdiff gx,iqr gx,entropy gx,skew gx,kurt gx,rms gx,pos jumps gx,neg jumps gx,min gy,max gy,mean gy,median gy,mad gy,sd gy,tdiff gy,iqr gy,entropy gy,skew gy,kurt gy,rms gy,pos jumps gy,neg jumps gy,min gz,max gz,mean gz,median gz,mad gz,sd gz,tdiff gz,iqr gz,entropy gz,skew gz,kurt gz,rms gz,pos jumps gz,neg jumps gz,label
-5792,25528,7001.6,4180.0,9554.080000000004,11158.160225639916,-1527,19758.0,-4.321928094887363,0.5042888741761171,-1.273228120295005,12934.516426987133,0,0,-14896,19412,-2614.6,-7322.0,10238.62,12029.014486473505,917,17068.0,-4.321928094887363,0.7960505076034439,-0.9212034694547344,12012.429529449902,0,0,-232,9600,4818.0,5944.0,3187.0,3556.8969326470065,917,6326.0,-4.321928094887363,-0.1514202506349385,-1.5522420002275372,5935.66036764234,0,0,-1378,14136,6775.95,6569.5,3383.5500000000006,4259.657788021548,1426,5203.75,-4.321928094887363,-0.12016832223359779,-0.746608413624017,7946.757115326981,0,0,-6782,5814,-787.55,-1222.0,2523.0950000000003,3235.618308681307,-306,3499.0,-4.321928094887363,0.022273673172889762,-0.43332358864687937,3250.5383477202668,0,0,-662,20218,13087.85,15125.5,4579.08,5779.325268166099,1527,5553.75,-4.321928094887363,-0.9005427197873035,0.022286058578207424,14248.59249715564,0,0,0
-8004,9396,1057.4,1758.0,4269.920000000001,5241.212439081147,1425,7975.0,-4.321928094887363,-0.18355029031178433,-1.067141100880509,5216.7889740720775,0,0,2492,18540,12334.8,14314.0,4346.6399999999985,5182.713306855072,1934,7931.0,-4.321928094887363,-0.6914084021676321,-0.8427098883221218,13329.095333142457,0,0,488,10688,5902.8,7452.0,3410.5200000000013,3704.0786850798886,-713,6931.0,-4.321928094887363,-0.2096428293889773,-1.6432226455099572,6919.337887399342,0,0,-5943,14075,3367.3,3281.5,4114.000000000001,5385.9099812673985,-814,5827.75,-4.321928094887363,0.2499401378621992,-0.5209642323244408,6236.692576999447,0,0,-6139,6338,-1034.15,-1338.0,2305.9350000000004,3069.413286555626,407,3024.75,-4.321928094887363,0.474137199955812,0.04213542107551005,3165.3908526436353,0,0,-2458,9292,4764.7,6141.5,3198.0899999999992,3929.266545994771,-1323,4952.0,-4.321928094887363,-0.8993480717468044,-0.6325301465098119,6113.063462781979,0,0,0
-8492,14216,443.0,-2816.0,6793.6,7859.104100542116,1527,13825.0,-4.321928094887363,0.610697689028307,-1.1899755576077098,7672.906255129147,0,0,-16980,1876,-10128.4,-11794.0,5103.560000000002,5944.847555922514,-1527,9784.0,-4.321928094887363,0.5407572422343253,-1.028170355156608,11668.703372697413,0,0,4548,9388,7040.2,7078.0,1033.8,1365.6732906673196,814,1773.0,-4.321928094887363,-0.06927032198182681,-0.4759807591284808,7164.930313687635,0,0,-3671,2027,263.0,513.5,832.0,1212.398232300019,-611,1124.75,-4.321928094887363,-1.6123779084183305,3.6468493733756873,1210.6126548157342,0,0,-5548,4251,57.6,917.0,2284.0400000000004,2710.878191365494,611,3905.0,-4.321928094887363,-0.4224852503697826,-0.7448528239175247,2642.864979525061,0,0,-10894,-3338,-8091.5,-8044.5,1431.4,1976.8175514141276,611,1887.25,-4.321928094887363,0.7901790087222593,0.22010753751554546,8317.739446508287,0,0,0
-10792,864,-6240.0,-6968.0,2267.2,2968.9704754696577,1426,3137.0,-4.321928094887363,0.7905231056201883,-0.08998553991667846,6878.346196579523,0,0,-4648,14228,5477.6,5148.0,4010.56,5041.382667483197,1935,6134.0,-4.321928094887363,-0.06675266825627446,-0.5222387096952952,7358.591169510642,0,0,2500,7172,4899.6,5060.0,1024.0399999999997,1254.7730514026493,-1629,1796.0,-4.321928094887363,-0.18186480511040073,-0.700587904809503,5049.931959937679,0,0,-681,4366,1196.75,637.0,1305.5,1588.0414244563879,1119,1985.25,-4.321928094887363,0.7919096364033098,-0.6181877840418672,1956.5255812281116,0,0,-5950,4415,507.2,781.5,1579.1799999999998,2244.2438088773265,305,1926.75,-4.321928094887363,-0.8074544429136103,1.8590418890447076,2245.45109053838,0,0,1472,12096,4843.75,3720.5,2212.175,2865.801493015247,204,2793.5,-4.321928094887363,1.1119541085309523,0.36669475801536944,5591.430170358922,0,0,0
-10584,13328,3517.6,5116.0,5594.879999999998,6864.986728242625,611,10128.0,-4.321928094887363,-0.5285102183442586,-0.739070148514581,7559.44114336503,0,0,-17856,17500,-1788.2,-9614.0,13245.379999999994,14173.902272913598,-917,28153.0,-4.321928094887363,0.2641713538609429,-1.7510327738075535,13930.26164865542,0,0,-3660,11780,3008.8,2072.0,4084.0799999999995,4824.111650972915,713,7879.0,-4.321928094887363,0.25449841992700184,-1.1486125243356127,5582.23324485819,0,0,-10400,2580,-3901.95,-3611.0,3617.4450000000006,4295.940402838108,-917,6938.25,-4.321928094887363,-0.07017761562311779,-1.2782152529872945,5723.4222760512785,0,0,-24993,6146,-8309.25,-7646.0,7258.75,8426.256913113288,611,14922.75,-4.321928094887363,-0.20279359810712008,-0.9610740977177499,11683.122478601343,0,0,-31659,9177,-7867.9,-4219.0,11338.279999999999,13669.02234173854,713,19452.0,-4.321928094887363,-0.5203525426375307,-1.0108774678249142,15472.682818438436,0,0,0
5156,5736,5351.4,5340.0,132.53999999999996,166.87480337067066,1120,237.0,-4.786313713864835,0.8204304394753563,-0.04507718373764913,5353.871197554158,0,0,14008,14612,14365.2,14404.0,121.35999999999986,153.54944343418302,-203,195.0,-4.7863137138648355,-0.6656524618871619,-0.19625870622665786,14365.979590685767,0,0,-3284,-2568,-2910.2,-2898.0,146.2,188.4025924505957,-1324,233.0,-4.321928094887363,-0.30616849019517584,-0.3806916643121916,2915.987791469642,0,0,-302,800,140.95,116.5,237.445,304.7419054665249,509,401.5,-4.554120904376099,0.4098223804997884,-0.5231898532641437,328.7721855631951,0,0,-371,608,-44.1,-88.5,218.99,301.4620339192597,-917,229.5,-4.554120904376099,1.0555118088805764,0.10001600349474149,297.11984114158383,0,0,-278,341,108.6,112.0,128.79999999999998,165.83739658250536,1629,224.5,-4.321928094887363,-0.49073802594510546,-0.28791505867441547,194.73289398558222,0,0,0
-14620,-888,-7057.4,-6912.0,2012.0800000000004,2906.191220571405,1527,2919.0,-4.554120904376099,-0.4155537736732605,1.0896804233227524,7604.639689031953,0,0,-4392,14072,1795.6,308.0,4344.319999999999,5242.834894054531,1629,7053.0,-4.321928094887363,0.8264552751304277,-0.293326802123286,5416.376205545549,0,0,-1628,7348,2802.6,2658.0,2024.4599999999996,2649.0076871001693,-1120,2406.0,-4.321928094887363,0.1327046159164891,-0.6847576543764311,3810.63595742233,0,0,-13002,12859,-2639.05,-3207.5,4553.4400000000005,6182.667398078532,509,6704.75,-4.321928094887363,0.5707506512505427,0.35124526241525666,6578.654288682451,0,0,-9173,7003,238.2,1106.0,3674.9800000000005,4322.70814968677,-102,7080.0,-4.321928094887363,-0.31092345921499615,-0.7612688168350545,4219.982784325073,0,0,-6660,14338,4066.75,2944.0,5690.425,6617.066927550621,1934,10384.5,-4.321928094887363,0.20548795097224615,-1.2129806235140472,7624.614846010256,0,0,0
3796,4968,4408.0,4378.0,245.2,317.4477163748055,-814,370.0,-4.554120904376099,0.03487301905097878,-0.48444533044637916,4418.845822157637,0,0,14648,15672,15043.2,14984.0,219.92000000000007,278.0975974081951,-508,307.0,-4.786313713864835,0.6914945819824048,-0.16791630000475566,15045.641814160006,0,0,584,2188,1175.4,964.0,370.4199999999998,484.00830788867995,-1324,369.0,-4.321928094887363,1.0862195526099867,-0.09815968378024698,1266.5370109080902,0,0,-853,1169,253.3,240.0,351.83000000000004,473.7609990391002,-1222,468.75,-4.321928094887363,-0.10461773270960188,0.2126363097694366,526.676276283639,0,0,-680,1546,170.45,236.5,426.10500000000013,558.8789036520957,1222,656.5,-4.321928094887363,0.4927949897189977,0.12153263813114457,570.7727656432111,0,0,-1048,1268,-203.7,-335.5,455.8300000000002,588.3389731850348,1222,655.75,-4.321928094887363,0.8642042180387531,0.17225161405181044,608.5468757622539,0,0,0
-11932,6616,-4325.8,-3878.0,3054.7400000000002,4479.110339294953,103,3180.0,-4.321928094887363,0.3374546013141818,0.5837660220580765,6145.881027159572,0,0,-8980,22512,1995.4,798.0,6060.540000000001,8204.350401816677,916,8175.0,-4.321928094887363,0.7571788415102356,0.2603155161358437,8241.809170321769,0,0,-464,14884,8037.2,8068.0,4679.599999999999,5438.757613549934,-1526,10610.0,-4.321928094887363,-0.12225572818642667,-1.4796560345247964,9627.962608984311,0,0,-14886,15176,-3455.0,-3393.0,4168.2,6307.397227817009,203,5899.0,-4.321928094887363,1.0087404800142568,2.2711591254238783,7052.029622739825,0,0,-9795,16146,3000.55,1801.5,4538.76,6014.979419617415,-713,6656.25,-4.321928094887363,0.18776263500380663,0.14732555092307065,6585.9151869728785,0,0,-10051,32767,6077.2,3808.0,9783.3,11950.217014545671,1221,14663.5,-4.321928094887363,0.7750993508361602,-0.2414175730026744,13137.719063825349,0,0,0
-3700,-3156,-3413.4,-3440.0,124.85999999999999,149.99382443427814,-713,196.0,-5.0185065233535715,-0.03009410526897154,-0.7009746805577941,3416.5293500861367,0,0,692,940,790.0,780.0,63.8,78.2815431631237,-612,116.0,-4.905273398029051,0.43601326950107056,-0.8796812462207106,793.6760044249794,0,0,14056,14444,14286.0,14276.0,85.4,105.44342459098,-509,144.0,-4.786313713864835,-0.4669843911221544,-0.46769706257673516,14286.36967182356,0,0,-62,108,15.65,13.0,36.55,45.92244606542185,-204,57.5,-4.321928094887363,0.43943779561206553,-0.4953614435651823,47.416769185595086,0,0,-176,168,-25.65,-29.0,78.25000000000001,99.40786530355899,712,109.0,-4.321928094887363,0.4725055623705268,-0.5343593487050571,100.22848896396673,0,0,-142,72,-11.75,-16.5,40.675,54.346718295345894,-1121,57.75,-4.321928094887363,-0.5138866585243278,0.07745242860770407,54.25817910693281,0,0,0
