-4104,-4344,-4400,-4428,-14380,-32768,-7632,5432,19724,32767,32767,32767,-32768,-16224,-9684,1540,1636,-1068,-3128,-3224
9968,10304,10244,10172,15940,14812,32767,13044,4768,-10320,18436,32767,32767,32767,20328,9732,11124,10504,1372,-3816
-260,-260,-316,-232,5304,-6164,-25432,-14832,-10196,-32768,-32768,-32768,4048,10636,6340,5940,2996,-2900,-4884,-6504
-287,30,149,27,-3968,8076,3607,-7536,-15142,-32768,23893,32767,14002,-9322,-4909,-5463,-2917,-2359,-9039,-11069
384,225,-11,-143,10695,1514,-32768,-32768,-32768,-2616,32767,-14709,-1922,-883,-7961,-1877,12753,19309,22215,15133
273,242,129,-410,-13847,-32768,-32768,-32768,-32768,10179,32767,32767,11654,-4521,447,-6267,-12568,-19472,-21920,-10365
2,103,205,307,409,511,613,714,816,918,1019,1122,1223,1326,1427,1528,1631,1732,1835,1936
-2164,-4472,-6176,-7940,-20624,-32768,204,23944,32767,32767,32767,32767,21764,1812,3752,4136,4256,908,256,-28
-1928,-1244,-988,-800,1128,7944,24988,13648,-2440,3184,29480,32767,32767,27884,23816,16596,9416,5156,764,-660
-7636,-8636,-8656,-8448,-10888,-29216,-32768,-18248,-29684,-30404,-32768,-32768,-32768,-7660,-2620,-7740,-10756,-9868,-12876,-13928
907,923,1263,1016,307,12200,-4397,-32768,-22075,-17757,32767,32767,32767,31585,6001,-6268,-11563,-11512,-18044,-19858
1623,1757,1408,-635,-2582,-32768,-32768,-32768,-8484,11139,32767,32767,-32689,-3686,-4736,14651,19672,14920,11776,7426
461,3353,2197,292,-8978,-32768,-32768,-32768,-19105,24505,32767,32767,-15722,-3368,-3312,-21983,-32768,-26112,-26051,-22218
2,103,206,307,410,511,612,715,816,919,1020,1122,1224,1325,1428,1529,1631,1733,1835,1936
-20644,-23312,-1552,14768,17336,32767,32767,32767,32767,25100,-1852,1176,5480,7580,3028,1460,144,-520,-772,368
