-6448,-6508,-6884,-3852,-4508,-32768,-7140,23488,31912,-32768,-19156,11852,-32768,-12028,13096,4084,-18784,-26916,-3460,-32768
10040,9844,11004,10416,7532,15128,4136,8360,13288,11856,-10128,-21272,-23220,27692,32356,32767,112,-25704,-20816,-17964
6296,5848,6632,7972,7848,-552,-1476,-7768,9144,-10740,-12072,-13296,-25928,2648,6868,-1072,7932,-32768,-16144,-32768
480,529,1273,897,-346,-5757,5407,32767,6153,-19337,-12043,-6624,-3696,32767,32767,-11305,-32768,-32768,21231,32767
-411,-120,-629,-722,5824,16942,-3833,-16114,14420,-12461,-14932,2904,32767,-19262,-15732,17306,-1698,-26722,5784,32767
-419,-825,-2201,-2739,-4422,-11217,-30665,-20620,8382,21894,15096,-763,-32768,-32768,-4760,1864,32767,23703,-27222,-28991
1,103,205,307,408,510,612,714,816,917,1020,1121,1224,1325,1426,1529,1630,1732,1834,1936
6332,9776,-32768,13452,-7660,-32768,-8164,6508,5460,-13424,-28668,-5648,-32768,-316,2908,10440,-32768,3440,-32768,-7984
29632,13972,29148,-19732,-12084,-4108,18680,13384,9800,27568,-9260,-32768,21096,22844,32767,9840,24264,-32768,32767,29264
9380,1264,-32768,-24936,-23388,-32768,-1676,8028,10752,-18284,-32768,-32768,-32768,-3732,-1908,-5648,-32768,-32768,-32768,-8060
10556,-24632,-32768,-14275,26196,32767,32767,4387,313,-23649,-32768,17326,32767,16183,8919,-22544,-32768,-22952,32767,32767
9070,17616,32767,-30895,-7450,15937,387,-23894,-12441,32767,-29256,18701,-11369,-15834,-5947,32767,32767,-13547,29425,-20078
-17559,8881,32767,11673,-8359,-18848,-19351,-18682,18611,32767,11933,6409,-7734,-32768,7613,19885,-3706,-8222,1618,-32768
1,104,205,308,409,511,613,714,817,918,1020,1122,1224,1326,1427,1529,1631,1733,1834,1937
4768,-32768,-20308,-32768,-22044,9964,23964,-32768,-5928,-32768,-13612,8556,32767,-13784,-32768,-32768,-10656,-6692,32767,32767
21880,32767,-32768,32767,32767,32767,25644,32767,-32768,32767,32767,21260,11192,32767,572,-12036,32767,25076,29660,32767
-15144,-32768,-32768,-32768,-28908,11444,-11808,-32768,-32768,-32768,-31036,-2476,6468,-32768,-32768,-32768,-32768,-15056,19716,-27336
-32768,-32768,-32768,32767,32767,12270,13131,-32768,-32768,32767,32767,-10936,-18386,-32768,-32768,32767,32767,10428,32767,22384
32767,32767,-18805,11727,-12270,-32768,32767,32767,-32768,11195,-15330,-27736,32767,32767,-32768,32767,-32768,-25626,-32768,32767
20260,10296,53,-26120,-32768,22015,32767,26651,8307,-1523,-32768,-32768,32499,5574,3078,-1699,-32768,-32768,28034,32767
2,103,205,307,409,511,612,715,816,918,1020,1121,1224,1325,1428,1529,1630,1733,1834,1936
-32768,-32768,-19532,3956,32767,9456,-32768,-29316,-3984,2296,26084,30560,-29892,13684,-32768,-23632,17596,32767,-21884,-32768
-9364,-14476,32767,32767,23524,32767,15448,-32768,32767,25680,32228,32767,9704,-32768,29244,29340,32767,17260,27500,-19608
-32768,-32768,-32768,-8504,12496,-32768,-32768,-32768,-32768,-8740,6016,-32768,-32768,-32768,-32768,-30836,792,-1240,-32768,-32768
-32768,32767,32767,-23739,32767,-28350,-32768,32767,32767,16780,32767,-28261,-32768,-1945,32767,32767,18880,-8005,-32768,-32768
